Department,Cluster,Branch,email
Doctors,South ,Kanakapura,manipalkanakapuraclinic@gmail.com
Doctors,South,Old Airport Road,manipaloldairport@gmail.com
Doctors,South,Hebbal,cahebbaldoctors@gmail.com
Doctors,South,Millers Road,camillersroadgmb1@gmail.com
Doctors,South,Jayanagar,jayanagarmanipal@gmail.com
Doctors,South,Varthur,cawhitefielddoctors1@gmail.com
Doctors,South,Mysore,camysoredoctors1@gmail.com
Doctors,South,Whitefield,manipalwhitefield@gmail.com
Doctors,South,Salem,manipalsalem5@gmail.com
Doctors,South,Malleshwaram,manipalmalleshwaram5@gmail.com
Doctors,South,Sarjapur,casarjapurdoctors1@gmail.com
Doctors,South,Yeshwanthpur,cayeswanthapur@gmail.com
Doctors,South,Brookefield,-
Doctors,South,Begur,cabegur@gmail.com
Doctors,South,Doddaballapur,cadoddaballapuradoctors1@gmail.com
Doctors,South,Yelahanka,"manipalyelahanka@gmail.com
"
Doctors,South,Budigere,-
Doctors,South,Indiranagar,manipalindiranagar@gmail.com
Doctors,North West,Baner,cabanerdoctors@gmail.com
Doctors,North West,Patiala,capatialadoctors1@gmail.com
Doctors,North West,Kharadi,capunedoctors@gmail.com
Doctors,North West,Jaipur,jaipurmanipal5@gmail.com
Doctors,North West,Delhi,dwarkamanipal@gmail.com
Doctors,North West,Gurugram,cagurugramdoctors1@gmail.com
Doctors,North West,Ghaziabad,caghaziabaddoctors@gmail.com
Doctors,North West,Ranchi,manipalranchi01@gmail.com
Doctors,International,International,manipalinternational1@gmail.com
Hospitals,Hospitals,Hospitals,doctorprofilesgmb@gmail.com
Hospitals,Hospitals,Hospitals,cahospitalprofiles@gmail.com
Doctors,Goa-Mangalore,Goa,goamanipal5@gmail.com
Doctors,Goa-Mangalore,Mangalore,manipalmangalore5@gmail.com
Doctors,East,Salt lake,cakolkatadoctors1@gmail.com
Doctors,East,Broadway,broadwaymanipal@gmail.com
Doctors,East,Mukundapur,mukundapurmanipal@gmail.com
Doctors,East,Dhakuria,manipaldhakuria@gmail.com
Doctors,East,EM Bypass,manipalembypass@gmail.com
Doctors,East,Siliguri,manipalsiliguri@gmail.com
Doctors,East,Rangapani,-
Department,Depatments,Depatments,manipaldeparments@gmail.com
Clinic,Clinics,Clinics,manipalclinics481@gmail.com
Doctors,Bhubaneswar-Vijayawada,Vijayawada,manipalvijayawada5@gmail.com
Doctors,Bhubaneswar-Vijayawada,Bhubaneswar,manipalbhubaneshwar@gmail.com
MARS,Ambulance,MARS,manipalmars718@gmail.com
Doctors,West,Hadaspar ,sahyadrihadapsar0@gmail.com
Doctors,West,Kothurd,manipalkothrud916@gmail.com 
Doctors,West,Nashik,manipalnashik@gmail.com
Doctors,West,Bibwewadi,sahyadribibwewad008@gmail.com
Doctors,West,Nagar Road ,sahyatrinagarroad@gmail.com
Doctors,West,Kasbapeth,manipalkasbapeth75@gmail.com
Doctors,West,Deccan Gymkhana,manipaldeccangymkhana@gmail.com
